date,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,population,aged_65_older,aged_70_older
29aug2020,1,19400,323,321,5,1855283,51269183,13.914,8.6219997
30aug2020,1,19699,299,323,2,1866149,51269183,13.914,8.6219997
31aug2020,1,19947,248,324,1,1879813,51269183,13.914,8.6219997
01sep2020,1,20182,235,324,0,1902337,51269183,13.914,8.6219997
02sep2020,1,20449,267,326,2,1923547,51269183,13.914,8.6219997
03sep2020,1,20644,195,329,3,1945028,51269183,13.914,8.6219997
04sep2020,1,20842,198,331,2,,51269183,13.914,8.6219997
05sep2020,1,20842,0,331,0,1984968,51269183,13.914,8.6219997
06sep2020,1,21177,335,334,3,1996314,51269183,13.914,8.6219997
07sep2020,1,21296,119,336,2,2004188,51269183,13.914,8.6219997
08sep2020,1,21432,136,341,5,2022708,51269183,13.914,8.6219997
09sep2020,1,21588,156,344,3,2045701,51269183,13.914,8.6219997
10sep2020,1,21743,155,346,2,2066573,51269183,13.914,8.6219997
11sep2020,1,21919,176,350,4,2089788,51269183,13.914,8.6219997
12sep2020,1,22055,136,355,5,2107631,51269183,13.914,8.6219997
13sep2020,1,22176,121,358,3,2115565,51269183,13.914,8.6219997
14sep2020,1,22285,109,363,5,2123526,51269183,13.914,8.6219997
15sep2020,1,22391,106,367,4,2137268,51269183,13.914,8.6219997
16sep2020,1,22504,113,367,0,2152990,51269183,13.914,8.6219997
17sep2020,1,22657,153,372,5,2166384,51269183,13.914,8.6219997
18sep2020,1,22783,126,377,5,2180962,51269183,13.914,8.6219997
19sep2020,1,22893,110,378,1,2194457,51269183,13.914,8.6219997
20sep2020,1,22975,82,383,5,2202427,51269183,13.914,8.6219997
21sep2020,1,23045,70,385,2,2209053,51269183,13.914,8.6219997
22sep2020,1,23106,61,388,3,2221890,51269183,13.914,8.6219997
23sep2020,1,23216,110,388,0,2236372,51269183,13.914,8.6219997
24sep2020,1,23341,125,393,5,2248217,51269183,13.914,8.6219997
25sep2020,1,23455,114,395,2,2260701,51269183,13.914,8.6219997
26sep2020,1,23516,61,399,4,2271837,51269183,13.914,8.6219997
27sep2020,1,23611,95,401,2,2277639,51269183,13.914,8.6219997
28sep2020,1,23661,50,406,5,2282716,51269183,13.914,8.6219997
29sep2020,1,23699,38,407,1,2292988,51269183,13.914,8.6219997
30sep2020,1,23812,113,413,6,2302403,51269183,13.914,8.6219997
01oct2020,1,23812,0,413,0,2308406,51269183,13.914,8.6219997
02oct2020,1,23952,140,416,3,2313782,51269183,13.914,8.6219997
03oct2020,1,24027,75,420,4,2318572,51269183,13.914,8.6219997
04oct2020,1,24091,64,421,1,2324229,51269183,13.914,8.6219997
05oct2020,1,24164,73,422,1,2329931,51269183,13.914,8.6219997
06oct2020,1,24239,75,422,0,2342696,51269183,13.914,8.6219997
07oct2020,1,24353,114,425,3,2355935,51269183,13.914,8.6219997
08oct2020,1,24422,69,427,2,2367866,51269183,13.914,8.6219997
09oct2020,1,24476,54,428,1,2379534,51269183,13.914,8.6219997
10oct2020,1,24548,72,430,2,2385702,51269183,13.914,8.6219997
11oct2020,1,24606,58,432,2,2391180,51269183,13.914,8.6219997
12oct2020,1,24703,97,433,1,2396418,51269183,13.914,8.6219997
13oct2020,1,24805,102,434,1,2408647,51269183,13.914,8.6219997
14oct2020,1,24889,84,438,4,2423058,51269183,13.914,8.6219997
15oct2020,1,24988,99,439,1,2432477,51269183,13.914,8.6219997
16oct2020,1,25035,47,441,2,2442071,51269183,13.914,8.6219997
17oct2020,1,25108,73,443,2,2451209,51269183,13.914,8.6219997
18oct2020,1,25199,91,444,1,2456748,51269183,13.914,8.6219997
19oct2020,1,25275,76,444,0,2462463,51269183,13.914,8.6219997
20oct2020,1,25333,58,447,3,2471932,51269183,13.914,8.6219997
21oct2020,1,25424,91,450,3,2483998,51269183,13.914,8.6219997
22oct2020,1,25543,119,453,3,2495512,51269183,13.914,8.6219997
23oct2020,1,25698,155,455,2,2508191,51269183,13.914,8.6219997
24oct2020,1,25775,77,457,2,2518791,51269183,13.914,8.6219997
25oct2020,1,25836,61,457,0,2524464,51269183,13.914,8.6219997
26oct2020,1,25955,119,457,0,2531501,51269183,13.914,8.6219997
27oct2020,1,26043,88,460,3,2544584,51269183,13.914,8.6219997
28oct2020,1,26146,103,461,1,2560056,51269183,13.914,8.6219997
29oct2020,1,26271,125,462,1,2571830,51269183,13.914,8.6219997
30oct2020,1,26385,114,464,2,2585858,51269183,13.914,8.6219997
31dec2019,2,,0,,0,,67886004,18.517,12.527
01jan2020,2,,0,,0,,67886004,18.517,12.527
02jan2020,2,,0,,0,,67886004,18.517,12.527
03jan2020,2,,0,,0,,67886004,18.517,12.527
04jan2020,2,,0,,0,,67886004,18.517,12.527
05jan2020,2,,0,,0,,67886004,18.517,12.527
06jan2020,2,,0,,0,,67886004,18.517,12.527
